OFICR_METRO_AREA_ST,OFICR_MKT,OFICR_RGN
FLORIDA METRO,CENTRAL FL,CENTRAL FL
FLORIDA METRO,CENTRAL FL,GREATER ORLANDO
FLORIDA METRO,CENTRAL FL,TAMPA
FLORIDA METRO,MID MKT FL,MID MKT FL
FLORIDA METRO,MID MKT FL,MID MKT GOVT-NFP-EDUCATION FL
FLORIDA METRO,MID MKT GOVT-NFP-EDUCATION FL,MID MKT GOVT-NFP-EDUCATION FL
FLORIDA METRO,MM C&I FL,ABL FL
FLORIDA METRO,MM C&I FL,C&I FL
FLORIDA METRO,MM NFP FL,NFP FL
FLORIDA METRO,NON-CORE FLORIDA,NON-CORE CENTRAL FL
FLORIDA METRO,NON-CORE FLORIDA,NON-CORE MID MKT FL
FLORIDA METRO,NON-CORE FLORIDA,NON-CORE NORTH FL
FLORIDA METRO,NON-CORE FLORIDA,NON-CORE SOUTH FL
FLORIDA METRO,NORTH FL,FL METRO-LENDING ADMIN
FLORIDA METRO,NORTH FL,GREATER ORLANDO
NEW ENGLAND METRO,CENTR-WEST-SOUTHEAST MA-RI,CENTR-WEST-SOUTHEAST MA-RI
NEW ENGLAND METRO,CENTWEST MA-UNY,CENTRAL MA
NEW ENGLAND METRO,CENTWEST MA-UNY,UPSTATE NY
NEW ENGLAND METRO,CENTWEST MA-UNY,WEST MA
NEW ENGLAND METRO,CONNECTICUT,CONNECTICUT
NEW ENGLAND METRO,CT-RI-SE MA,CT EAST
NEW ENGLAND METRO,CT-RI-SE MA,CT NORTH
NEW ENGLAND METRO,CT-RI-SE MA,CT WEST
NEW ENGLAND METRO,CT-RI-SE MA,CT-RI-SE MA
NEW ENGLAND METRO,CT-RI-SE MA,CT-RI-SE MA OTHER
NEW ENGLAND METRO,CT-RI-SE MA,RHODE ISLAND-SOUTHEAST MA
NEW ENGLAND METRO,CT-RI-SE MA,RI-CT SOUTH
NEW ENGLAND METRO,EASTERN MA,BURLINGTON & METRO WEST
NEW ENGLAND METRO,EASTERN MA,EASTERN MA
